"Description","Timeseries File ID","Unit of Measure","Table Name"
"Non-financial assets, Local Government","KASSNFL","Millions $, Book Value",""
"Total Liabilities, Local Government","KLIAL","Millions $, Book Value",""
"Net worth, Federal Government ","KDEBTL","Millions $, Book Value",""
"Pension assets at market value, CPP","KCPP","Millions $ Market Value",""
"Pension assets at market value, QPP","KQPP","Millions $ Market Value",""
"Canada, Personal Savings Deposits","RPSD","",""
"Canada, 1-Year GIC","RGIC1","",""
"Canada, 3-Year GIC","RGIC3","",""
"Canada, 5-Year GIC","RGIC5","",""
"Canada, 30-Day Treasury Bill","RTB30","",""
"Canada, 90-Day Treasury Bill","RTB90","",""
"Canada, 6-Month Treasury Bill","RTB6M","",""
"Canada, 1-Year Treasury Bill","RTB1Y","",""
"Canada, 30-Day Corporate Paper","RCP30","",""
"Canada, Bank Rate","RBANK","",""
"Overnight Rate, Average Rate Over Quarter","ROVNT","",""
"Canada, Prime Lending Rate","RPRIME","",""
"Canada, Real Prime Lending Rate","RPRIMEK","",""
"Canada, 1-Year Conventional Mortgage","RMCM1","",""
"Canada, 3-Year Conventional Mortgage","RMCM3","",""
"Canada, 5-Year Conventional Mortgage","RMCM5","",""
"Canada, Average Residential Mortgage Rate","RAVMT5","",""
"Canada, Consumer Loan Rate","RCNLR","",""
"Canada, Federal Bonds: 1 - 3 Years","RGOC1","",""
"Canada, Federal Bonds: 2 Years","RGOC2","",""
"Canada, Federal Bonds: 3 Years","RGOC3","",""
"Canada, Federal Bonds: 5 Years","RGOC5","",""
"Canada, Federal Bonds: 7 Years","RGOC7","",""
"Canada, Federal Bonds: 10 Years","RGOC10","",""
"Canada, Federal Bonds: Long-Term","RGOCL","",""
"Canada, Canada Savings Bond","RCSB","",""
"Canada, Interest rate on Bankers Acceptances","RBACC","",""
"United States, Federal Fund Rate","USRFUND","",""
"United States, Prime Lending Rate","USRPRIME","",""
"United States, 90-Day Treasury Bill","USRTB90","",""
"United States, 90-Day Corporate Paper","USRCP90","",""
"30 Year T-Bill Rate","USRLONGT","",""
"United State, Moody's AAA Corporate Bond","USRCB","",""
"United States;United States treasuries constant maturity: 5 year","USRGOC5","%",""
"Gross deposits at chartered banks","FDBCT","Millions $",""
"Total deposits at chartered banks held by general public","FDBGP","Millions $",""
"Total personal deposits at chartered banks","FDBPT","Millions $",""
"Personal checkable deposits at chartered banks","FDBPC","Millions $",""
"M2 Gross","FM2","Millions $",""
"M3 Gross","FM3","Millions $",""
"M2 Velocity","FM2VEL","",""
"Total Canadian dollar assets of chartered banks","FABCT","Millions $",""
"T-bill holdings of chartered banks","FABGTB","Millions $",""
"Holdings of Govt. Of Canada bonds (<=3 years) by chartered banks","FABG3U","Millions $",""
"Holdings of Govt. Of Canada bonds (> 3 years) by chartered banks","FABG3A","Millions $",""
"Personal loans held by chartered banks","FABPL","Millions $",""
"Business loans held by chartered banks","FABBL","Millions $",""
"Residential mortgages held by chartered banks","FABRMORT","Millions $",""
"Bankers acceptances held by chartered banks","FABBA","Millions $",""
"Personal non-checkable deposits at chartered banks","FDBPNC","Millions $",""
"Personal fixed term  deposits at chartered banks","FDBPFT","Millions $",""
"Total non-personal deposits at chartered banks","FDBNPT","Millions $",""
"Non-personal checkable deposits at chartered banks","FDBNPC","Millions $",""
"Non-personal non-checkable deposits at chartered banks","FDBNPNC","Millions $",""
"Non-personal fixed term deposits at chartered banks","FDBNPFT","Millions $",""
"Government of Canada deposits at chartered banks","FDBGOC","Millions $",""
"Capital Stock, total","KTOT","Millions $ 2012",""
"Capital Stock, Business","KBUS","Millions $ 2012",""
"Capital Stock, Intelectual property","KBUSI","Millions $ 2012",""
"Capital Stock, M&E","KBUSNM","Millions $ 2012",""
"Capital Stock, Building","KBUSNSB","Millions $ 2012",""
"Capital Stock, Engineering","KBUSNSE","Millions $ 2012",""
"Capital Stock, Public","KPUB","Millions $ 2012",""
"Capital Stock, Public, Intelectual property","KPUBI","Millions $ 2012",""
"Capital Stock, Public. M&E","KPUBNM","Millions $ 2012",""
"Capital Stock, Public, Building","KPUBNSB","Millions $ 2012",""
"Capital Stock, Public, Engineering","KPUBNSE","Millions $ 2012",""
"Capital - Labour Ratio","RKL","Millions $ 2012",""
"Consumer Price Index","PCPI","2002=1.0",""
"Core Consumer Price Index","PCPIX","2002=1.0",""
"Expected Inflation","PCER","",""
"New Housing Price Index","PIBRN","2012=1.0",""
"Real Interest Rate","RPRIME-PCER","",""
"Output Gap","OGAP","",""
"Total Employment","E","Thousands ('000s)",""
"Unemployment Rate","UR","",""
"Average Weekly Wages (Industrial Composite)","WWIC","$",""
"Unit Labour Costs, Industrial Composite","ULCIC","Millions $",""
"Raw Materials Price Index","PRM","2010=1.0",""
"Potential Output","YPOT","Millions $ 2012",""
" Growth in Trend Productivity","TFPTR","TFP Units",""
"Capital Stock, total","KTOT","Millions $ 2012",""
" Potential Average Hours Worked","AHTR","",""
" Natural Unemployment Rate","NUR","",""
" Actual Unemployment Rate","UR","",""
" Potential Labour Force","LFTR","Thousands ('000s)",""
" Actual Labour Force","LFTR","Thousands ('000s)",""
" Potential Labour Part Rate","LPRTR","",""
" Actual Labour Part Rate","LPR","",""
"Actual Output","QRDPZIRE","Millions $ 2002",""
"Output Gap","OGAP","Millions $ 2002",""
"Gross Domestic Product at Market Prices (Billions U.S. $ 2009)","USGDPK","Billions U.S. $ 2009",""
"GDP Deflator","USPGDP","2009=100",""
"Producer Price Index (Finished Goods)","USPPFG","1982=100",""
"Consumer Price Index","USPCPI","1982-84=100",""
"Index of Industrial Production","USQI","1997=100",""
"Housing Starts","USIHS","Thousands ('000s) SAAR",""
"Unit Labour Costs (Non-Farm)","USULCNF","2009=100",""
"U.S. M2","USFM2","Billions U.S. $",""
"Federal Funds Rate","USRFUND","",""
"Prime Loan Rate","USRPRIME","",""
"91-Day T-Bill Rate","USRTB90","",""
"90-Day Commercial Paper Rate","USRCP90","",""
"30 Year T-Bill Rate","USRLONGT","",""
"Total Non-Farm Employment (Millions )","USE","Millions U.S. $",""
"Moody's AAA Corporate Bond Rate","USRCB","",""
"Unemployment Rate","USUR","",""
"West Texas Intermediate Oil Price","POILUS","U.S. $/Barrel",""
"Federal Reserve Board 10 Country $ Index","USPFXFRB","Billions U.S. $",""
"Federal Deficit NIPA Basis","USGBALF","Billions U.S. $ SAAR",""
"Current Account Balance","USBPCA","Billions U.S. $",""
"U.S. GDP, Expenditure-Based,  Consumer Expenditures","USCK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Government Spending and Investment","USGGSK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Gross Fixed Capital Formation Business","USIBK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Gross Fixed Capital Formation Business, Residential Construction","USIRCBK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Gross Fixed Capital Formation Business, Structures","USINRBK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Gross Fixed Capital Formation Business, Equipment","USIMEK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based, Gross Fixed Capital Formation Business, Intellectual Property","USIBIK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Final Domestic Demand","USFDDK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Exports","USXK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Exports, Merchandise","USXMK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Imports","USMK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Imports, Merchandise","USMMK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Net Exports","USXNETK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Value of Physical Change in Inventories","USIIBK","Billions U.S. $ 2009",""
"U.S. GDP, Expenditure-Based,  Gross Domestic Product at Market Prices","USGDPK","Billions U.S. $ 2009",""
